,text,class
0,"@LonelySoad mientras que no te pillen la primera semana que es cuando tienes la nariz como un payaso 
","NONE
"
1,"@ceemeese ya era hora de volver al csgo y dejares el padel bienvenida 
","N
"
2,"@mireiaescribano justo cuando se terminan las fiestas de verano, me viene genial  
","P
"
3,"@LuisMartinez22_ pensba q iba a hacer @wxplosive una reflexion profunda de las q me hace a mi pero 
","N
"
4,"@Vic_Phantomhive Si lo encuentro, sin compañeros y barato, me iría hasta ahora mismo 
","N
"
5,"@MentalistGirl @PamplingNews lo sé, lo sé...la sigo desde hace tiempo Jajajaja es de mis favoritas 
","N
"
6,"Eso de echar de menos tu propia casa son leyendas urbanas 
","N
"
7,"@kaveri_miguel yo estoy igual, he dormido nada o menos... Y en una hora en marcha a currar 
","N
"
8,"@Aymerich97 yo solo puse las evos de eevee 
","P
"
9,"@Caspitoo el día que te vi en persona estuviste híper soso conmigo... ¡nunca lo olvidaré! 
","NEU
"
10,"Echo de menos las sudaderas y los pantalones largos 
","N
"
11,"Quiero mimos. Y un zumo de naranja. Estoy enfermita 
","P
"
12,"@zambricanto @ConsueCaballer me he quedado sorprendida!  Me encantan! Y me alegro de lo de Blas 
","N
"
13,"@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas 
","NEU
"
14,"@Nebirous una de mis favoritas de tu galería, la luz que captaste es muy misteriosa además... me encanta! 
","P
"
15,"La radio de cercanía, la radio más cercana a la realidad en @HablarporHablar con esta llamada 
","N
"
16,"A ver sé que mido menos de 1'50 pero que NO TENGO 10 AÑOS o sea os lo digo en serio no tengo 10 años 
","P
"
17,"@enekoolabuenaga seguramente no podré estar online hasta mañana 
","N
"
18,"Yo a las 5 a No puedo dormir *se pone a ver Peppa Pig*esto es peor 
","N
"
19,"@Miriam_Munuera calor?! Calor?? Hoy mehe muerto de frío 
","N
"
20,"Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!! 
","P
"
21,"sabes que tu vida es muy puta cuando empiezas las clases en menos de una semana 
","N
"
22,"@EstreMaimona Hija mía ...Haces inteligente a la anormal de ""yolanda morin"".... 
","NONE
"
23,"Acaso se nota que extraño muchísimo a Irene y a LucíaAAAAA. Es una broma esto 
","P
"
24,"@apr15__ seamos como seamos siempre vamos a ser criticados....la vida es asi 
","N
"
25,"q en horas estemos en septiembre, perdona?????  24 junio dnde stas 
","N
"
26,"Vas tranquilo por la calle y por la cara te encuentras a una persona que no tienes ganas de ver 
","N
"
27,"Noemi duerme y yo estoy abandonada, hacedme caso 
","N
"
28,"@OnceInfinito lo malo es cuando no hace falta traducirlos porque los entiendes...  
","N
"
29,"@dinomamut_ Buenos días! Ojalá extras todos los meses, sí 
","P
"
30,"Que me dejen de llegar correos de la universidad cuando estoy en el pueblo POR FAVOR 
","N
"
31,"Muchas gracias por este fantástico post  @conelmorrofino
","P
"
32,"@AngelMica13 Es que los tiempos son distintos en cada país  A trabajar todos!
","N
"
33,"@Roberto_R_R De verdad, la involución humana es un hecho ya... ¡Qué pena!  @elcorreogallego
","N
"
34,"@nightmareoscura malditos conductores a los que dan el carnet en la tómbola 
","P
"
35,"@RoarFurii Furiiii a que hora a acabado el directo? no llege a verlo 
","N
"
36,"@NariSpringfield No sé si saldrá algo relacionado con Escocia, pero los paisajes son increíbles 
","P
"
37,"@MattiaSola1 @kalashkokirikov tío, que no, que yo soy el dalas pero cutre, déjame 
","N
"
38,"quiero hacer un video en youtube desahogándome 
","P
"
39,"@Juansfy yo solo quiero que tu cuerpo este tan fuerte como tu mente 
","P
"
40,"@pauladiaz_coach un placer guapa!! @alexdurana es un sol!! bueno, los dos los sois 
","P
"
41,"@NoEsUnPagaro que te pasa necesitas ayuda? favea si te tienen secuestrada 
","N
"
42,"La escena spoby es tan bonita y tan triste y no paro de llorar damn 
","N
"
43,"No me pongáis Galantis que pienso en el Arenal y lloro 
","NONE
"
44,"@SaraWiggum @SergloPsycho lo gracioso es que no se de donde voy a sacar tiempo 
","P
"
45,"""Es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad..."" #MN 
","N
"
46,"@LaLiLoLaiLoLeo !Croquetas!  A mí me gustan pelín más hechas.
","P
"
47,"@JAGambero @tehubriego Porque, España, es un país, Opresor¡¡ malvado y esclavista¡... 
","N
"
48,"@IKEASpain es el mismo así que tomo nota de todo  #gracias
","N
"
49,"@Compotita @ttarlop no me he enfadado  solo he puesto voz de abuelo cebolleta 
","N
"
50,"Creo que voy a hacer nuggets vegetarianos y patatas porque no sé qué hacer de comer y 
","N
"
51,"@eloycanovas gracias, Eloy!! intentando aproximar mis perlas a las tuyas 
","P
"
52,"Por cierto @AdvyStyles podria hablar contigo por md? Gracias 
","P
"
53,"Increíble el directo de hoy me lo he pasado  de puta madre muchísimas gracias a todos 
","N
"
54,"@micaelarusso_ me ha pasado algo similar te entiendo cariño 
","N
"
55,"Quiero que alguien me diga cosas bonitas 
","P
"
56,"Quita rubiete el stream y me hago un 2vs1 impresionante 
","P
"
57,"@DiariodeMasacre tio me estoy rallando, necesitamos comunicado oficial de lo que ha pasado 
","N
"
58,"@SigueLumen ¡Encantados y felices, un abrazo desde Plasencia! 
","P
"
59,"@rubenlinoman como todo! Es un jugón! No quiero que lo fichéis. Es el peor día de mi vida 
","N
"
60,"@varitoponchito pues sí ya tienes claro que me he precipitado no hace falta que me lo preguntes 
","N
"
61,"@RaulNV oye, q llevo todo el verano pringando!! Me merecia una recompensa ya 
","N
"
62,"@antxonp  Mi producción, como puedes ver, es escasa  ¡Pero seguro que estarán buenísimas!! Je, je, je
","P
"
63,"También me gustaría jugar a la Beta abierta de Battlefield. Pero no se a que hora sale 
","N
"
64,"Al igual solo es estres, perdón  @rachelstormborn
","N
"
65,"@beritoospina Un poder pedir fin del acoso en una campaña publicitaria, estaría muy bien 
","P
"
66,"@YsabelGranger @gvila1 Nosotras haremos lo q sea menester para motivados  
","N
"
67,"ojalá selena se recupere pronto, no merece nada malo  #GetWellSoonSelena
","N
"
68,"Qué deprimente, mañana ya sepriembre. QUE SE ACABAN LAS VACACIONES!! 
","N
"
69,"@valecalderon94 jaja es que es imposible  y no te congelas.. Hace calor
","N
"
70,"@merymrtn_ sin animo de ofender a las focas, que son lo mas mejor de este mundo 
","N
"
71,"@cronopioaustral Está hermosa esa niña. ¿Quién no se anima a planchar así? Saludos 
","N
"
72,"Tienes una voz bonita @cristinabosca ahora sólo tengo que aprender a diferenciarla  me gusta la voz que tienes 
","P
"
73,"@menorking la tecnica esa es genial, no se de donde viene pero es super recomendable 
","P
"
74,"@PitiHurtado @ecorbella A cascoporro! y karate-press a saco fijo 
","N
"
75,"Quiero ver no apagues la luz y nadie viene conmigo 
","P
"
76,"Lo bueno es que ya puedo echar un vistazo al libro de arte sin spoilearme 
","P
"
77,"@VideojuegosGAME ultimo dia hoy? Nooooo  que yo iba el miercoles que vuelvo de las vacaciones.
","N
"
78,"@imdariusb1tches nooo, quiero que me vaya pordede 
","P
"
79,"@Danlok23 si, la edad no es inconveniente para nada, es parte de mi infancia y hacia falta algo así 
","N
"
80,"@thorelvasco @eloymg85 es que 16 Gb es muy poquito, sobre todo teniendo en cuenta que el 6S sube a 12 Mp y graba en 4K 
","N
"
81,"Y ya me tiene que gustar si el segundo está basado en Rebelión en la granja IMAGINAOS 
","P
"
82,"Iba a sacar a la perra y se me ha quedado la rodilla pillada 
","N
"
83,"Imágenes del verano en nuestra querida #Zaragoza.  https://t.co/8ooXivv9B4
","N
"
84,"@HCeretto la vemos juntas y lloramos juntas 
","P
"
85,"Bueno que buenas noches tras el bajón de las 03:24 
","N
"
86,"@LaiZorsGaming nooo  haced todo lo posible para hacerlo otra vez plz
","P
"
87,"@Rubiu5 en vez de mandarme dm, dime qué tal estás, cuentame tu vida y tan felices todos 
","N
"
88,"Lo que me hace gracia es que os deis cuenta de que santapo es subnormal ahora 
","N
"
89,"@Malicnidad @El_Fantaasma ahh eso   lawliet es más de nivel 800 ya  y había uno que era todavía más alto
","N
"
90,"Otra cosa no me quedará clara hoy,  pero con el Tiranosaurio Rex,  si tú no te mueves no te puede ver  @DinopolisTeruel
","N
"
91,"@Garcia_Daniel13 Muy agradable, tiene la lengua fuera... ¿quieres una foto..? 
","N
"
92,"@CelopanYT te hemos echado de menos en la fiesta fin de verano  te podrias haber ido con Ro 
","N
"
93,"@RubHDReturns ni el bueno es tan bueno ni el malo es tan malo 
","N
"
94,"A pesar de todo...veo sorpresa en el Bernabéu...llamadme loca 
","NONE
"
95,"Hay algunos shojos de comedia romántica que me gustaría que se centraran un poco más en lo romántico 
","N
"
96,"A estas horas hace un mes estaba nerviosa no, lo siguiente porque le veía y ahora 
","NEU
"
97,"@Imanolduran @lavuelta jajaja esta vez vamos equipados!  😘
","N
"
98,"@CyPunto_ soy unranked , pero porque paso de hacerlas xd y mi novio se reia de mi ayer 
","N
"
99,"@elitron77 Tranquilo. Ya me imaginaba. Tengo planes de ir al Bernabéu para ver a la Real. Allá para finales de Enero 
","N
"
100,"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor 
","P
"
101,"@elitron77 Bueno, yo soy de la Real, neutral total 
","NEU
"
102,"@elitron77 Efectos prácticos. Aprovechar el desorden del rival. Lo hacemos todos 
","N
"
103,"una chamana/curandera/partera veterana asexual seria un buen personaje para mi historia 
","P
"
104,"De nuevo lo veo imposible con tanta mención @BlasAuryn #FollowSpree. Por favor, mi apoyo lo tienes siempre 
","N
"
105,"@pilar_diz Buenooo, claro que si y a @chefidiaz se le está pegando...Pero es estupendo. Scoop. No dejéis de verla. 
","NEU
"
106,"Me veo toda la noche mirando al techo y rayado, queé bien 
","N
"
107,"@OneDayOfGlory tu ventilador me mira con cara seductora. 
","N
"
108,"El bloqueo -en vez del mute- es en realidad una medida para reducir el ridículo para los que no saben que existe el screenshot 
","N
"
109,"Iba a hacer lo de 1mi y medio llenando mi vacío, pero me puede la pereza 
","N
"
110,"Se me ha puesto una araña en la pierna y he montado un espectáculo en una terrazas 
","N
"
111,"@noorihabb aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @SalimBenserghin
","N
"
112,"@Cotemadridista7 jajajaja un dia seguro que te lo dedicara, por una gran fan incondicional como tú 
","P
"
113,"no sé si hacerla rabiar y seguir pinchando o ya sudar, es que estoy cabreada 
","N
"
114,"@deibitbanon En el contrato institucional que tengo, 2GB son 9€/mes y 5GB 10€/mes. No había color   Por cierto, acabo de agotarlos O_o
","NONE
"
115,"Pobre ilusa yo, pensé que me haríais algo de caso por una vez 
","N
"
116,"@Cristinabrachoc, muchas gracias. La verdad es que lo tienen fácil para acertar 
","N
"
